metric,bin,opr,a_hex,b_hex,result_hex,carry,zero
opr_cp,add,0,00000000,00000000,0000000000000000,0,1
opr_cp,and_op,4,00000000,00000000,0000000000000000,0,1
opr_cp,div,3,00000000,00000000,0000000000000000,1,1
opr_cp,mul,2,00000000,00000000,0000000000000000,0,1
opr_cp,not_op,6,00000000,00000000,00000000FFFFFFFF,0,0
opr_cp,or_op,5,00000000,00000000,0000000000000000,0,1
opr_cp,sub,1,00000000,00000000,0000000000000000,0,1
a_val,alternating_01,0,55555555,00000000,0000000055555555,0,0
a_val,alternating_10,0,AAAAAAAA,00000000,00000000AAAAAAAA,0,0
a_val,high,0,FFFFFFFE,00000000,00000000FFFFFFFE,0,0
a_val,low,0,00000002,00000000,0000000000000002,0,0
a_val,max_unsigned,0,FFFFFFFF,00000000,00000000FFFFFFFF,0,0
a_val,mid,0,000003E8,00000000,00000000000003E8,0,0
a_val,one,0,00000001,00000000,0000000000000001,0,0
a_val,other_values,0,00000065,00000000,0000000000000065,0,0
a_val,zero,0,00000000,00000000,0000000000000000,0,1
b_val,alternating_01,0,00000000,55555555,0000000055555555,0,0
b_val,alternating_10,0,00000000,AAAAAAAA,00000000AAAAAAAA,0,0
b_val,high,0,00000000,FFFFFFFE,00000000FFFFFFFE,0,0
b_val,low,0,00000000,00000002,0000000000000002,0,0
b_val,max_unsigned,0,00000000,FFFFFFFF,00000000FFFFFFFF,0,0
b_val,mid,0,00000000,000003E8,00000000000003E8,0,0
b_val,one,0,00000000,00000001,0000000000000001,0,0
b_val,other_values,0,00000000,00000065,0000000000000065,0,0
b_val,zero,0,00000000,00000000,0000000000000000,0,1
result_cp,above_32_bits,0,00000001,FFFFFFFF,0000000100000000,1,0
result_cp,max_32_bits,0,00000000,FFFFFFFF,00000000FFFFFFFF,0,0
result_cp,max_64_bits,1,00000000,00000001,FFFFFFFFFFFFFFFF,1,0
result_cp,one,0,00000000,00000001,0000000000000001,0,0
result_cp,other_32_bits,0,00000000,AAAAAAAA,00000000AAAAAAAA,0,0
result_cp,zero,0,00000000,00000000,0000000000000000,0,1
carry_cp,carry,0,00000001,FFFFFFFF,0000000100000000,1,0
carry_cp,no_carry,0,00000000,00000000,0000000000000000,0,1
zero_cp,is_zero,0,00000000,00000000,0000000000000000,0,1
zero_cp,not_zero,0,00000000,00000001,0000000000000001,0,0
sub_order_cp,borrow,1,00000000,00000001,FFFFFFFFFFFFFFFF,1,0
sub_order_cp,equal_operands,1,00000000,00000000,0000000000000000,0,1
sub_order_cp,positive_difference,1,00000001,00000000,0000000000000001,0,0
div_denominator_cp,divide_by_one,3,00000000,00000001,0000000000000000,0,1
div_denominator_cp,divide_by_zero,3,00000000,00000000,0000000000000000,1,1
div_denominator_cp,other_divisors,3,00000000,FFFFFFFF,0000000000000000,0,1
alternating_pair_cp,complementary_01_10,4,55555555,AAAAAAAA,0000000000000000,0,1
alternating_pair_cp,complementary_10_01,4,AAAAAAAA,55555555,0000000000000000,0,1
alternating_pair_cp,equal_01,4,55555555,55555555,0000000055555555,0,0
alternating_pair_cp,equal_10,4,AAAAAAAA,AAAAAAAA,00000000AAAAAAAA,0,0
opr_a_cross,add/alternating_01,0,55555555,00000000,0000000055555555,0,0
opr_a_cross,add/alternating_10,0,AAAAAAAA,00000000,00000000AAAAAAAA,0,0
opr_a_cross,add/high,0,FFFFFFFE,00000000,00000000FFFFFFFE,0,0
opr_a_cross,add/low,0,00000002,00000000,0000000000000002,0,0
opr_a_cross,add/max_unsigned,0,FFFFFFFF,00000000,00000000FFFFFFFF,0,0
opr_a_cross,add/mid,0,000003E8,00000000,00000000000003E8,0,0
opr_a_cross,add/one,0,00000001,00000000,0000000000000001,0,0
opr_a_cross,add/other_values,0,00000065,00000000,0000000000000065,0,0
opr_a_cross,add/zero,0,00000000,00000000,0000000000000000,0,1
opr_a_cross,and_op/alternating_01,4,55555555,00000000,0000000000000000,0,1
opr_a_cross,and_op/alternating_10,4,AAAAAAAA,00000000,0000000000000000,0,1
opr_a_cross,and_op/high,4,FFFFFFFE,00000000,0000000000000000,0,1
opr_a_cross,and_op/low,4,00000002,00000000,0000000000000000,0,1
opr_a_cross,and_op/max_unsigned,4,FFFFFFFF,00000000,0000000000000000,0,1
opr_a_cross,and_op/mid,4,000003E8,00000000,0000000000000000,0,1
opr_a_cross,and_op/one,4,00000001,00000000,0000000000000000,0,1
opr_a_cross,and_op/other_values,4,00000065,00000000,0000000000000000,0,1
opr_a_cross,and_op/zero,4,00000000,00000000,0000000000000000,0,1
opr_a_cross,div/alternating_01,3,55555555,00000000,0000000000000000,1,1
opr_a_cross,div/alternating_10,3,AAAAAAAA,00000000,0000000000000000,1,1
opr_a_cross,div/high,3,FFFFFFFE,00000000,0000000000000000,1,1
opr_a_cross,div/low,3,00000002,00000000,0000000000000000,1,1
opr_a_cross,div/max_unsigned,3,FFFFFFFF,00000000,0000000000000000,1,1
opr_a_cross,div/mid,3,000003E8,00000000,0000000000000000,1,1
opr_a_cross,div/one,3,00000001,00000000,0000000000000000,1,1
opr_a_cross,div/other_values,3,00000065,00000000,0000000000000000,1,1
opr_a_cross,div/zero,3,00000000,00000000,0000000000000000,1,1
opr_a_cross,mul/alternating_01,2,55555555,00000000,0000000000000000,0,1
opr_a_cross,mul/alternating_10,2,AAAAAAAA,00000000,0000000000000000,0,1
opr_a_cross,mul/high,2,FFFFFFFE,00000000,0000000000000000,0,1
opr_a_cross,mul/low,2,00000002,00000000,0000000000000000,0,1
opr_a_cross,mul/max_unsigned,2,FFFFFFFF,00000000,0000000000000000,0,1
opr_a_cross,mul/mid,2,000003E8,00000000,0000000000000000,0,1
opr_a_cross,mul/one,2,00000001,00000000,0000000000000000,0,1
opr_a_cross,mul/other_values,2,00000065,00000000,0000000000000000,0,1
opr_a_cross,mul/zero,2,00000000,00000000,0000000000000000,0,1
opr_a_cross,not_op/alternating_01,6,55555555,00000000,00000000AAAAAAAA,0,0
opr_a_cross,not_op/alternating_10,6,AAAAAAAA,00000000,0000000055555555,0,0
opr_a_cross,not_op/high,6,FFFFFFFE,00000000,0000000000000001,0,0
opr_a_cross,not_op/low,6,00000002,00000000,00000000FFFFFFFD,0,0
opr_a_cross,not_op/max_unsigned,6,FFFFFFFF,00000000,0000000000000000,0,1
opr_a_cross,not_op/mid,6,000003E8,00000000,00000000FFFFFC17,0,0
opr_a_cross,not_op/one,6,00000001,00000000,00000000FFFFFFFE,0,0
opr_a_cross,not_op/other_values,6,00000065,00000000,00000000FFFFFF9A,0,0
opr_a_cross,not_op/zero,6,00000000,00000000,00000000FFFFFFFF,0,0
opr_a_cross,or_op/alternating_01,5,55555555,00000000,0000000055555555,0,0
opr_a_cross,or_op/alternating_10,5,AAAAAAAA,00000000,00000000AAAAAAAA,0,0
opr_a_cross,or_op/high,5,FFFFFFFE,00000000,00000000FFFFFFFE,0,0
opr_a_cross,or_op/low,5,00000002,00000000,0000000000000002,0,0
opr_a_cross,or_op/max_unsigned,5,FFFFFFFF,00000000,00000000FFFFFFFF,0,0
opr_a_cross,or_op/mid,5,000003E8,00000000,00000000000003E8,0,0
opr_a_cross,or_op/one,5,00000001,00000000,0000000000000001,0,0
opr_a_cross,or_op/other_values,5,00000065,00000000,0000000000000065,0,0
opr_a_cross,or_op/zero,5,00000000,00000000,0000000000000000,0,1
opr_a_cross,sub/alternating_01,1,55555555,00000000,0000000055555555,0,0
opr_a_cross,sub/alternating_10,1,AAAAAAAA,00000000,00000000AAAAAAAA,0,0
opr_a_cross,sub/high,1,FFFFFFFE,00000000,00000000FFFFFFFE,0,0
opr_a_cross,sub/low,1,00000002,00000000,0000000000000002,0,0
opr_a_cross,sub/max_unsigned,1,FFFFFFFF,00000000,00000000FFFFFFFF,0,0
