temperature	V(n002)	I(R1)
-1.000000000000000e+02	8.535400e-01	4.146460e-04
-9.500000000000000e+01	8.445790e-01	4.155421e-04
-9.000000000000000e+01	8.355832e-01	4.164417e-04
-8.500000000000000e+01	8.265533e-01	4.173447e-04
-8.000000000000000e+01	8.174903e-01	4.182510e-04
-7.500000000000000e+01	8.083953e-01	4.191605e-04
-7.000000000000000e+01	7.992690e-01	4.200731e-04
-6.500000000000000e+01	7.901123e-01	4.209888e-04
-6.000000000000000e+01	7.809258e-01	4.219074e-04
-5.500000000000000e+01	7.717104e-01	4.228289e-04
-5.000000000000000e+01	7.624667e-01	4.237533e-04
-4.500000000000000e+01	7.531954e-01	4.246804e-04
-4.000000000000000e+01	7.438972e-01	4.256103e-04
-3.500000000000000e+01	7.345726e-01	4.265427e-04
-3.000000000000000e+01	7.252222e-01	4.274778e-04
-2.500000000000000e+01	7.158467e-01	4.284153e-04
-2.000000000000000e+01	7.064465e-01	4.293554e-04
-1.500000000000000e+01	6.970221e-01	4.302978e-04
-1.000000000000000e+01	6.875741e-01	4.312426e-04
-5.000000000000000e+00	6.781029e-01	4.321897e-04
0.000000000000000e+00	6.686090e-01	4.331391e-04
5.000000000000000e+00	6.590928e-01	4.340907e-04
1.000000000000000e+01	6.495547e-01	4.350445e-04
1.500000000000000e+01	6.399953e-01	4.360005e-04
2.000000000000000e+01	6.304148e-01	4.369585e-04
2.500000000000000e+01	6.208136e-01	4.379186e-04
3.000000000000000e+01	6.111921e-01	4.388808e-04
3.500000000000000e+01	6.015507e-01	4.398449e-04
4.000000000000000e+01	5.918897e-01	4.408110e-04
4.500000000000000e+01	5.822095e-01	4.417791e-04
5.000000000000000e+01	5.725104e-01	4.427490e-04
5.500000000000000e+01	5.627925e-01	4.437208e-04
6.000000000000000e+01	5.530565e-01	4.446944e-04
6.500000000000000e+01	5.433024e-01	4.456697e-04
7.000000000000000e+01	5.335305e-01	4.466469e-04
7.500000000000000e+01	5.237412e-01	4.476259e-04
8.000000000000000e+01	5.139347e-01	4.486065e-04
8.500000000000000e+01	5.041113e-01	4.495889e-04
9.000000000000000e+01	4.942713e-01	4.505729e-04
9.500000000000000e+01	4.844148e-01	4.515585e-04
1.000000000000000e+02	4.745421e-01	4.525458e-04
1.050000000000000e+02	4.646535e-01	4.535347e-04
1.100000000000000e+02	4.547492e-01	4.545251e-04
1.150000000000000e+02	4.448294e-01	4.555171e-04
1.200000000000000e+02	4.348943e-01	4.565106e-04
1.250000000000000e+02	4.249441e-01	4.575056e-04
1.300000000000000e+02	4.149792e-01	4.585021e-04
1.350000000000000e+02	4.049996e-01	4.595000e-04
1.400000000000000e+02	3.950055e-01	4.604995e-04
1.450000000000000e+02	3.849973e-01	4.615003e-04
1.500000000000000e+02	3.749752e-01	4.625025e-04
